DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;PRATA;Cerrado;0;0;0;"-19,08258";"-48,90296";;3.1
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;PRATA;Cerrado;0;0;0;"-19,10539";"-49,11493";;4.3
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;CALDAS NOVAS;Cerrado;0;0;0;"-17,85483";"-48,63778";;3.1
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;CALDAS NOVAS;Cerrado;0;0;0;"-17,85501";"-48,63605";;7.2
2018/12/17 17:18:00;NPP-375;Brasil;MATO GROSSO DO SUL;MIRANDA;Cerrado;0;0;0;"-20,16576";"-56,26067";;12
2018/12/17 17:18:00;NPP-375;Brasil;MATO GROSSO DO SUL;MIRANDA;Cerrado;0;0;0;"-20,16911";"-56,26012";;16.8
2018/12/17 17:18:00;NPP-375;Brasil;MATO GROSSO DO SUL;BODOQUENA;Cerrado;0;0;0;"-20,85815";"-56,74338";;9
2018/12/17 17:18:00;NPP-375;Brasil;MATO GROSSO DO SUL;RIO NEGRO;Cerrado;0;0;0;"-19,59264";"-55,00625";;2.7
2018/12/17 17:18:00;NPP-375;Brasil;MATO GROSSO DO SUL;SIDROLANDIA;Cerrado;0;0;0;"-20,82328";"-55,12973";;4.1
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;NOVO PLANALTO;Cerrado;0;0;0;"-13,31168";"-49,60929";;6.8
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;REGENTE FEIJO;Cerrado;0;0;0;"-22,2382";"-51,25275";;7.8
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;REGENTE FEIJO;Cerrado;0;0;0;"-22,24151";"-51,25327";;6.7
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;TAQUARITUBA;Cerrado;0;0;0;"-23,45446";"-49,19462";;11.7
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;LUIS ANTONIO;Cerrado;0;0;0;"-21,55634";"-47,89452";;6.5
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;LUIS ANTONIO;Cerrado;0;0;0;"-21,55727";"-47,89923";;6.5
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;LUIS ANTONIO;Cerrado;0;0;0;"-21,57679";"-47,78463";;3.5
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;LUIS ANTONIO;Cerrado;0;0;0;"-21,5782";"-47,78574";;8.4
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;LUIS ANTONIO;Cerrado;0;0;0;"-21,58128";"-47,78362";;2.4
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;SANTA RITA DO PASSA QUATRO;Cerrado;0;0;0;"-21,66086";"-47,68169";;7
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;SANTA RITA DO PASSA QUATRO;Cerrado;0;0;0;"-21,66446";"-47,67604";;11.1
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;BROTAS;Cerrado;0;0;0;"-22,28328";"-48,04267";;13.1
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;BROTAS;Cerrado;0;0;0;"-22,28337";"-48,04133";;6.7
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;BROTAS;Cerrado;0;0;0;"-22,28424";"-48,04579";;6.7
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;BROTAS;Cerrado;0;0;0;"-22,30484";"-48,17594";;4
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;ESPIRITO SANTO DO PINHAL;Cerrado;0;0;0;"-22,22641";"-46,87543";;4.8
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;IPAMERI;Cerrado;0;0;0;"-17,10637";"-47,70082";;18
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;IPAMERI;Cerrado;0;0;0;"-17,11019";"-47,69703";;33.7
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;IPAMERI;Cerrado;0;0;0;"-17,11127";"-47,69971";;18
